DEPARTAMENTO,MUNICIPIO
AMAZONAS,PUERTO SANTANDER
AMAZONAS,PUERTO NARINO
AMAZONAS,TARAPACA
AMAZONAS,PUERTO ALEGRIA
AMAZONAS,MIRITI PARANA
AMAZONAS,PUERTO ARICA
AMAZONAS,LETICIA
AMAZONAS,EL ENCANTO
AMAZONAS,LA CHORRERA
AMAZONAS,LA PEDRERA
AMAZONAS,LA VICTORIA
ANTIOQUIA,SAN FRANCISCO
ANTIOQUIA,SABANETA
ANTIOQUIA,FRONTINO
ANTIOQUIA,SALGAR
ANTIOQUIA,SABANALARGA
ANTIOQUIA,SAN JERONIMO
ANTIOQUIA,SAN ROQUE
ANTIOQUIA,SAN VICENTE
ANTIOQUIA,SANTA BARBARA
ANTIOQUIA,SAN RAFAEL
ANTIOQUIA,SAN CARLOS
ANTIOQUIA,SAN LUIS
ANTIOQUIA,SAN PEDRO
ANTIOQUIA,RIONEGRO
ANTIOQUIA,NECHI
ANTIOQUIA,OLAYA
ANTIOQUIA,PENOL
ANTIOQUIA,NECOCLI
ANTIOQUIA,MURINDO
ANTIOQUIA,MUTATA
ANTIOQUIA,NARINO
ANTIOQUIA,PUERTO TRIUNFO
ANTIOQUIA,REMEDIOS
ANTIOQUIA,RETIRO
ANTIOQUIA,PUERTO NARE
ANTIOQUIA,PEQUE
ANTIOQUIA,PUEBLORRICO
ANTIOQUIA,PUERTO BERRIO
ANTIOQUIA,YONDO
ANTIOQUIA,ZARAGOZA
ANTIOQUIA,EL CARMEN DE VIBORAL
ANTIOQUIA,YOLOMBO
ANTIOQUIA,VENECIA
ANTIOQUIA,YALI
ANTIOQUIA,YARUMAL
ANTIOQUIA,SANTA ROSA DE OSOS
ANTIOQUIA,SANTAFE DE ANTIOQUIA
ANTIOQUIA,SAN PEDRO DE URABA
ANTIOQUIA,SAN ANDRES DE CUERQUIA
ANTIOQUIA,SAN JUAN DE URABA
ANTIOQUIA,SAN JOSE DE LA MONTANA
ANTIOQUIA,VIGIA DEL FUERTE
ANTIOQUIA,VEGACHI
ANTIOQUIA,TAMESIS
ANTIOQUIA,TARAZA
ANTIOQUIA,TARSO
